strategy,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs
NL,0.4942,0.4286,0.2338,0.2029,0.3171,0.2747,3
SPARQL_local,0.6181,0.5354,0.1126,0.1009,0.1899,0.1688,3
SPARQL_prefixed,0.7731,0.0252,0.1991,0.0983,0.3078,0.1164,3
SPARQL_full,0.5036,0.4369,0.2251,0.1954,0.3108,0.2693,3
SPARQL_nl,0.9043,0.0326,0.1601,0.0075,0.272,0.0092,3
TripleScan_pattern_local,0.7389,0.0673,0.1775,0.0417,0.2855,0.0599,3
TripleScan_pattern_prefixed,0.7997,0.01,0.2078,0.013,0.3298,0.0172,3
TripleScan_pattern_full,0.7444,0.0632,0.1515,0.015,0.2518,0.0241,3
TripleScan_pattern_nl,0.8462,0.0404,0.2121,0.0327,0.3383,0.042,3
TripleScan_constrained_local,0.8,0.0,0.0692,0.03,0.1264,0.0498,3
TripleScan_constrained_prefixed,0.0,0.0,0.0,0.0,0.0,0.0,3
TripleScan_constrained_full,0.5,0.4359,0.0649,0.0566,0.1149,0.1002,3
TripleScan_constrained_nl,0.7965,0.0061,0.1342,0.0525,0.2268,0.0742,3
TripleScan_sparql_local,0.7667,0.0577,0.0996,0.0075,0.1762,0.0133,3
TripleScan_sparql_prefixed,0.8259,0.0651,0.1342,0.0417,0.2285,0.0585,3
TripleScan_sparql_full,0.6351,0.0208,0.1429,0.0,0.2332,0.0014,3
TripleScan_sparql_nl,0.8436,0.0328,0.1818,0.039,0.2975,0.0513,3
ValueScan_pattern_local,0.8254,0.0275,0.2251,0.0075,0.3537,0.0118,3
ValueScan_pattern_prefixed,0.8254,0.0275,0.2251,0.0075,0.3537,0.0118,3
ValueScan_pattern_full,0.7289,0.0259,0.1861,0.0075,0.2966,0.0111,3
ValueScan_pattern_nl,0.8454,0.005,0.2597,0.0343,0.3965,0.0406,3
ValueScan_constrained_local,0.7465,0.0449,0.1342,0.0541,0.2252,0.0784,3
ValueScan_constrained_prefixed,0.0,0.0,0.0,0.0,0.0,0.0,3
ValueScan_constrained_full,0.6784,0.0101,0.1731,0.0075,0.2758,0.0086,3
ValueScan_constrained_nl,0.7579,0.0365,0.1558,0.045,0.2558,0.0622,3
ValueScan_sparql_local,0.9167,0.0,0.1429,0.0,0.2472,0.0,3
ValueScan_sparql_prefixed,0.7718,0.0364,0.2381,0.1178,0.352,0.1325,3
ValueScan_sparql_full,0.8069,0.0127,0.2511,0.0417,0.3815,0.0462,3
ValueScan_sparql_nl,0.9222,0.0096,0.1559,0.0225,0.2662,0.033,3
