strategy,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs
NL,0.59,0.1112,0.2745,0.0339,0.3738,0.0493,3
SPARQL_local,1.0,0.0,0.1176,0.0,0.2105,0.0,3
SPARQL_prefixed,0.8492,0.1435,0.2353,0.1019,0.354,0.1246,3
SPARQL_full,0.6,0.0,0.1765,0.0,0.2727,0.0,3
SPARQL_nl,1.0,0.0,0.1176,0.0,0.2105,0.0,3
TripleScan_pattern_local,1.0,0.0,0.1176,0.0,0.2105,0.0,3
TripleScan_pattern_prefixed,0.6,0.0,0.1765,0.0,0.2727,0.0,3
TripleScan_pattern_full,0.9167,0.1443,0.1372,0.034,0.2356,0.0434,3
TripleScan_pattern_nl,0.6667,0.0,0.2353,0.0,0.3478,0.0,3
TripleScan_constrained_local,1.0,0.0,0.1176,0.0,0.2105,0.0,3
TripleScan_constrained_prefixed,0.8889,0.1924,0.1176,0.0,0.207,0.0061,3
TripleScan_constrained_full,1.0,0.0,0.1176,0.0,0.2105,0.0,3
TripleScan_constrained_nl,1.0,0.0,0.1176,0.0,0.2105,0.0,3
TripleScan_sparql_local,1.0,0.0,0.1176,0.0,0.2105,0.0,3
TripleScan_sparql_prefixed,0.6111,0.0962,0.098,0.0339,0.1684,0.0547,3
TripleScan_sparql_full,1.0,0.0,0.1176,0.0,0.2105,0.0,3
TripleScan_sparql_nl,1.0,0.0,0.1176,0.0,0.2105,0.0,3
ValueScan_pattern_local,1.0,0.0,0.1176,0.0,0.2105,0.0,3
ValueScan_pattern_prefixed,1.0,0.0,0.1176,0.0,0.2105,0.0,3
ValueScan_pattern_full,0.7937,0.1803,0.2157,0.0899,0.325,0.105,3
ValueScan_pattern_nl,1.0,0.0,0.1176,0.0,0.2105,0.0,3
ValueScan_constrained_local,1.0,0.0,0.1176,0.0,0.2105,0.0,3
ValueScan_constrained_prefixed,1.0,0.0,0.1176,0.0,0.2105,0.0,3
ValueScan_constrained_full,1.0,0.0,0.1176,0.0,0.2105,0.0,3
ValueScan_constrained_nl,1.0,0.0,0.1176,0.0,0.2105,0.0,3
ValueScan_sparql_local,1.0,0.0,0.1176,0.0,0.2105,0.0,3
ValueScan_sparql_prefixed,1.0,0.0,0.1176,0.0,0.2105,0.0,3
ValueScan_sparql_full,0.8333,0.0,0.2941,0.0,0.4348,0.0,3
ValueScan_sparql_nl,0.8222,0.0192,0.2745,0.0339,0.4111,0.0411,3
