strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL_naive,20,1.0,0.0,0.55,0.0,0.7097,0.0,5,11,1.0,0.11,76.0,0.0
NL_precise,20,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1.62,0.05,172.0,3.0
AllParallel,20,1.0,0.0,0.6,0.0,0.75,0.0,5,12,3.94,0.31,600.0,2.0
HolisticOnly,20,1.0,0.0,0.55,0.0,0.7097,0.0,5,11,1.02,0.13,128.0,0.0
MuGaloisHybrid,20,1.0,0.0,0.6,0.0,0.75,0.0,5,12,5.79,0.66,866.0,6.0
