strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL_naive,21,0.0,0.0,0.0,0.0,0.0,0.0,5,0,4.93,0.33,584.0,1.0
NL_precise,21,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6.33,0.42,831.0,0.0
AllParallel,21,0.9333,0.0297,0.8286,0.1565,0.8729,0.0952,5,18.6,5.67,0.66,953.0,43.0
HolisticOnly,21,0.2749,0.1061,0.9619,0.0213,0.4185,0.1253,5,83,2.88,0.92,388.0,120.0
MuGaloisHybrid,21,0.765,0.2805,0.8667,0.1405,0.7677,0.202,5,31.6,8.5,1.73,1624.0,885.0
