strategy,precision,recall,f1_triple,cardinality,avg_score
Baseline NL+Filter,1.0,1.0,1.0,1.0,1.0
Baseline SPARQL+Filter,1.0,1.0,1.0,1.0,1.0
TableScan+Filter,1.0,1.0,1.0,1.0,1.0
SeedCrank,1.0,1.0,1.0,1.0,1.0
KeyCrank,1.0,1.0,1.0,1.0,1.0
TripletScan,1.0,1.0,1.0,1.0,1.0
