strategy,precision,recall,f1_triple,cardinality,avg_score
Baseline NL+Filter,0.0,0.0,0.0,0.0833,0.0417
Baseline SPARQL+Filter,0.5,0.1667,0.25,0.3333,0.2917
TableScan+Filter,0.5,0.0833,0.1429,0.1667,0.1548
SeedCrank,0.1,0.0833,0.0909,0.8333,0.4621
KeyCrank,0.0741,0.3333,0.1212,0.2222,0.1717
TripletScan,0.069,0.3333,0.1143,0.2069,0.1606
