strategy,precision,recall,f1_triple,cardinality,avg_score
Baseline NL,0.0,0.0,0.0,0.3333,0.1667
Baseline SPARQL,0.0,0.0,0.0,0.3333,0.1667
TableScan+Filter,0.0,0.0,0.0,0.0,0.0
SeedCrank,0.0,0.0,0.0,0.3333,0.1667
KeyCrank (no seed),0.0,0.0,0.0,0.6667,0.3333
KeyCrank (small),1.0,1.0,1.0,1.0,1.0
KeyCrank (large),0.6667,0.6667,0.6667,1.0,0.8333
