strategy,precision,recall,f1_triple,cardinality,avg_score
Baseline NL+Filter,0.5,0.625,0.5556,0.8,0.6778
Baseline SPARQL+Filter,0.5,0.625,0.5556,0.8,0.6778
TableScan+Filter,1.0,0.0625,0.1176,0.0625,0.0901
SeedCrank,0.7273,0.5,0.5926,0.6875,0.64
KeyCrank,0.4783,0.6875,0.5641,0.6957,0.6299
TripletScan,0.5,0.75,0.6,0.6667,0.6333
