strategy,precision,recall,f1_triple,cardinality,avg_score
Baseline NL+Filter,0.0,0.0,0.0,0.7143,0.3571
Baseline SPARQL+Filter,0.4,0.2857,0.3333,0.7143,0.5238
TableScan+Filter,0.0,0.0,0.0,0.0,0.0
SeedCrank,0.6,0.4286,0.5,0.7143,0.6071
KeyCrank,0.4,0.2857,0.3333,0.7143,0.5238
TripletScan,0.6,0.4286,0.5,0.7143,0.6071
