strategy,precision,recall,f1_triple,cardinality,avg_score
Baseline NL+Filter,1.0,0.2,0.3333,0.2,0.2667
Baseline SPARQL+Filter,1.0,0.2,0.3333,0.2,0.2667
TableScan+Filter,0.0,0.0,0.0,0.0,0.0
SeedCrank,0.0,0.0,0.0,0.0,0.0
KeyCrank,0.1667,0.2,0.1818,0.8333,0.5076
TripletScan,0.1429,0.2,0.1667,0.7143,0.4405
