strategy,precision,recall,f1_triple,cardinality,avg_score
Baseline NL+Filter,0.4667,0.35,0.4,0.75,0.575
Baseline SPARQL+Filter,0.4444,0.2,0.2759,0.45,0.3629
TableScan+Filter,1.0,0.05,0.0952,0.05,0.0726
SeedCrank,0.3333,0.15,0.2069,0.45,0.3284
KeyCrank,0.45,0.45,0.45,1.0,0.725
TripletScan,0.3571,0.25,0.2941,0.7,0.4971
