strategy,precision,recall,f1_triple,cardinality,avg_score
Baseline NL,1.0,0.6667,0.8,0.6667,0.7333
Baseline SPARQL,0.6667,0.6667,0.6667,1.0,0.8333
TableScan,0.1,0.3333,0.1538,0.3,0.2269
