strategy,precision,recall,f1_triple,cardinality,avg_score
Baseline NL+Filter,1.0,0.6667,0.8,0.6667,0.7333
Baseline SPARQL+Filter,1.0,0.6667,0.8,0.6667,0.7333
TableScan+Filter,0.2,0.3333,0.25,0.6,0.425
SeedCrank,1.0,0.3333,0.5,0.3333,0.4167
KeyCrank,0.75,1.0,0.8571,0.75,0.8036
TripletScan,1.0,0.3333,0.5,0.3333,0.4167
