strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated
NL,77,0.7534,0.0182,0.3169,0.0269,0.4456,0.0271,5,32.4
SPARQL_T1a,77,0.8035,0.0225,0.1818,0.0305,0.2957,0.0418,5,17.4
SPARQL_T1b,77,0.7839,0.0557,0.1195,0.0383,0.206,0.0601,5,11.6
ValueScan,77,0.7265,0.0403,0.2831,0.0577,0.4047,0.0657,5,30
