strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL_naive,8,0.96,0.0894,0.6,0.0559,0.7384,0.0688,5,5,1.21,0.09,105.0,3.0
NL_precise,8,0.0,0.0,0.0,0.0,0.0,0.0,5,0,2.07,0.27,164.0,0.0
UnionBranches,8,1.0,0.0,0.875,0.0,0.9333,0.0,5,7,4.68,0.41,488.0,0.0
Encoding_list,8,0.8,0.0,0.5,0.0,0.6154,0.0,5,5,1.0,0.14,164.0,0.0
Encoding_OR,8,0.8143,0.0568,0.65,0.0559,0.7219,0.0483,5,6.4,1.04,0.07,153.0,2.0
Encoding_natural,8,0.5763,0.3085,0.525,0.2236,0.5415,0.2799,5,13.8,2.8,0.73,330.0,58.0
MuGalois_τ_high,8,0.9167,0.1179,0.65,0.0559,0.7544,0.0239,5,5.8,6.57,3.69,935.0,488.0
MuGalois_τ_mid,8,0.7964,0.0964,0.65,0.0559,0.7136,0.0619,5,6.6,2.51,0.91,384.0,109.0
MuGalois_τ_low,8,0.8571,0.0,0.75,0.0,0.8,0.0,5,7,2.78,1.12,385.0,108.0
MuGaloisChoice,8,0.8262,0.0442,0.7,0.0685,0.7557,0.043,5,6.8,3.59,0.31,502.0,2.0
