strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL_naive,23,0.0,0.0,0.0,0.0,0.0,0.0,5,0,2.13,0.1,178.0,1.0
NL_precise,23,0.0,0.0,0.0,0.0,0.0,0.0,5,0,2.21,0.17,184.0,5.0
UnionBranches,23,0.0111,0.0249,0.0174,0.0389,0.0136,0.0303,5,28.2,5.7,0.49,570.0,39.0
Encoding_list,23,0.0,0.0,0.0,0.0,0.0,0.0,5,10,1.68,0.4,189.0,12.0
Encoding_OR,23,0.5018,0.0924,0.2261,0.0364,0.3116,0.052,5,10.4,1.97,1.29,161.0,7.0
Encoding_natural,23,0.0471,0.1052,0.0348,0.0778,0.04,0.0894,5,21.2,3.27,0.59,356.0,34.0
MuGalois_τ_high,23,0.6231,0.0594,0.3739,0.0389,0.4672,0.0466,5,13.8,4.46,0.34,561.0,4.0
MuGalois_τ_mid,23,0.5956,0.0541,0.3565,0.0195,0.4459,0.0302,5,13.8,2.19,0.1,311.0,2.0
MuGalois_τ_low,23,0.589,0.0241,0.3478,0.0,0.4372,0.0066,5,13.6,2.22,0.17,309.0,4.0
MuGaloisChoice,23,0.6088,0.062,0.3652,0.0389,0.4564,0.0473,5,13.8,2.22,0.24,311.0,4.0
