strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL_naive,20,1.0,0.0,0.6,0.0,0.75,0.0,5,12,1.27,0.11,92.0,0.0
NL_precise,20,1.0,0.0,0.6,0.0,0.75,0.0,5,12,1.67,0.11,141.0,0.0
UnionBranches,20,0.9846,0.0344,0.6,0.0,0.7455,0.0102,5,12.2,3.63,0.18,379.0,2.0
Encoding_list,20,0.9667,0.0456,0.56,0.0418,0.7083,0.039,5,11.6,1.46,0.44,153.0,3.0
Encoding_OR,20,0.9846,0.0344,0.62,0.0274,0.7606,0.0266,5,12.6,1.29,0.29,149.0,3.0
Encoding_natural,20,0.9118,0.0252,0.61,0.0224,0.7304,0.007,5,13.4,2.52,0.09,294.0,20.0
MuGalois_τ_high,20,0.9099,0.0295,0.6,0.0,0.723,0.0096,5,13.2,3.17,0.34,434.0,1.0
MuGalois_τ_mid,20,0.9231,0.0,0.6,0.0,0.7273,0.0,5,13,2.08,0.11,292.0,2.0
MuGalois_τ_low,20,0.9231,0.0,0.6,0.0,0.7273,0.0,5,13,2.12,0.23,294.0,2.0
MuGaloisChoice,20,0.8692,0.0709,0.64,0.0548,0.7354,0.046,5,14.8,2.08,0.21,297.0,5.0
