strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL_naive,19,0.46,0.0548,0.1158,0.0235,0.1842,0.0314,5,4.8,1.47,0.22,112.0,10.0
NL_precise,19,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3.86,0.52,319.0,16.0
UnionBranches,19,0.0,0.0,0.0,0.0,0.0,0.0,5,19.8,3.13,0.2,301.0,12.0
Encoding_list,19,0.0,0.0,0.0,0.0,0.0,0.0,5,1.8,1.0,0.34,106.0,5.0
Encoding_OR,19,0.5,0.0,0.1053,0.0,0.1739,0.0,5,4,1.14,0.13,123.0,0.0
Encoding_natural,19,0.0,0.0,0.0,0.0,0.0,0.0,5,58,41.45,82.68,3591.0,7047.0
MuGalois_τ_high,19,0.5,0.0,0.1053,0.0,0.1739,0.0,5,4,3.22,0.23,372.0,3.0
MuGalois_τ_mid,19,0.4467,0.0768,0.1053,0.0,0.1697,0.0062,5,4.6,1.91,0.15,253.0,4.0
MuGalois_τ_low,19,0.55,0.1118,0.1158,0.0235,0.1913,0.0389,5,4,1.89,0.1,250.0,3.0
MuGaloisChoice,19,0.5157,0.1382,0.1263,0.0288,0.2012,0.0422,5,4.8,1.8,0.16,257.0,12.0
