strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
HolisticOnly,6,1.0,0.0,0.6667,0.0,0.8,0.0,5,4,1.12,0.21,121.0,0.0
AllParallel,6,0.5834,0.038,0.8333,0.0,0.6857,0.0261,5,8.6,5.99,0.76,761.0,2.0
Card≤10,6,0.5834,0.038,0.8333,0.0,0.6857,0.0261,5,8.6,4.42,0.34,472.0,7.0
Card≤15,6,0.5695,0.031,0.8333,0.0,0.6762,0.0213,5,8.8,4.58,0.2,476.0,2.0
Card≤20,6,0.5834,0.038,0.8333,0.0,0.6857,0.0261,5,8.6,4.42,0.56,476.0,2.0
MuGaloisHybrid,6,0.5695,0.031,0.8333,0.0,0.6762,0.0213,5,8.8,10.91,9.39,788.0,125.0
