strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
HolisticOnly,20,1.0,0.0,0.55,0.0,0.7097,0.0,5,11,1.24,0.11,128.0,0.0
AllParallel,20,1.0,0.0,0.6,0.0,0.75,0.0,5,12,4.25,0.34,605.0,5.0
Card≤10,20,1.0,0.0,0.59,0.0224,0.7419,0.018,5,11.8,5.17,1.69,610.0,212.0
Card≤15,20,1.0,0.0,0.57,0.0274,0.7258,0.0221,5,11.4,3.26,1.35,419.0,259.0
Card≤20,20,1.0,0.0,0.57,0.0274,0.7258,0.0221,5,11.4,3.74,1.68,421.0,261.0
MuGaloisHybrid,20,1.0,0.0,0.6,0.0,0.75,0.0,5,12,6.13,0.46,870.0,3.0
