strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
HolisticOnly,21,0.3214,0.1345,0.9714,0.0261,0.4695,0.1528,5,75,3.44,1.27,355.0,131.0
AllParallel,21,0.8468,0.0783,0.9143,0.1137,0.8716,0.0442,5,23,7.48,1.13,1278.0,653.0
Card≤10,21,0.9053,0.038,0.8191,0.1444,0.8551,0.0841,5,19,7.73,0.88,1070.0,44.0
Card≤15,21,0.1986,0.0492,0.9619,0.0213,0.3271,0.0687,5,106.8,38.12,72.18,3735.0,6984.0
Card≤20,21,0.3692,0.1369,0.9714,0.0261,0.5223,0.1473,5,63.2,4.14,1.34,423.0,96.0
MuGaloisHybrid,21,0.9307,0.0352,0.8762,0.1491,0.8968,0.0832,5,19.8,9.72,3.42,1233.0,44.0
