strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
HolisticOnly,4,1.0,0.0,0.5,0.0,0.6667,0.0,5,2,1.15,0.48,105.0,0.0
AllParallel,4,0.6095,0.0522,1.0,0.0,0.7564,0.0398,5,6.6,3.87,0.23,502.0,3.0
Card≤10,4,0.6286,0.0522,1.0,0.0,0.7709,0.0398,5,6.4,4.22,0.46,436.0,3.0
Card≤15,4,0.5905,0.0426,1.0,0.0,0.7418,0.0325,5,6.8,4.38,0.35,438.0,2.0
Card≤20,4,0.5905,0.0426,1.0,0.0,0.7418,0.0325,5,6.8,4.19,0.17,438.0,2.0
MuGaloisHybrid,4,0.5905,0.0426,1.0,0.0,0.7418,0.0325,5,6.8,6.43,0.7,683.0,2.0
