strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
Standard,46,1.0,0.0,0.2174,0.0,0.3571,0.0,5,10,3.22,0.82,713.0,2.0
Motivational,46,0.5964,0.039,0.4087,0.0097,0.4848,0.0183,5,31.6,9.94,0.89,5550.0,1073.0
