strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
Standard,922,0.9167,0.0,0.0119,0.0,0.0236,0.0,5,12,3.76,0.94,766.0,0.0
Motivational,922,0.9449,0.043,0.0369,0.0046,0.0709,0.0083,5,36.2,9.5,0.74,6525.0,1151.0
