strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL,58,0.9509,0.0027,0.3345,0.0197,0.4946,0.0218,5,20.4,1.59,0.36,191.0,5.0
SPARQL,58,0.9,0.0559,0.1276,0.0154,0.2234,0.0253,5,8.2,1.15,0.25,131.0,4.0
LLMScan,58,0.9579,0.0015,0.3931,0.0144,0.5573,0.0147,5,23.8,7.47,0.58,1143.0,39.0
LLMScan_KeyOnly,58,0.9599,0.0023,0.4138,0.0244,0.578,0.0244,5,25,6.64,0.47,965.0,21.0
LLMScan_PostFilter,58,0.0,0.0,0.0,0.0,0.0,0.0,5,0,4.31,0.46,1248.0,11.0
