strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
MuGalois,4,0.9,0.2236,0.75,0.3062,0.8095,0.2756,5,3.2,9.01,2.33,2975.0,919.0
MuGalois_lowTau,4,1.0,0.0,0.75,0.0,0.8571,0.0,5,3,1.49,0.21,236.0,0.0
