strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL,10,1.0,0.0,0.6,0.0,0.75,0.0,5,6,1.19,0.37,88.0,0.0
SPARQL,10,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1.04,0.35,99.0,0.0
GD,10,1.0,0.0,0.3,0.0,0.4615,0.0,5,3,3.97,1.1,703.0,37.0
GD_lookahead,10,1.0,0.0,0.34,0.0894,0.5025,0.0918,5,3.4,4.22,1.33,693.0,12.0
DG,10,0.0,0.0,0.0,0.0,0.0,0.0,5,0.4,3.34,1.65,618.0,259.0
DG_lookahead,10,0.0,0.0,0.0,0.0,0.0,0.0,5,0.4,3.5,0.58,733.0,8.0
Join,10,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3.76,0.87,690.0,0.0
Join_lookahead,10,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3.71,0.34,690.0,0.0
SimpleScan,10,1.0,0.0,0.48,0.0447,0.6476,0.0426,5,4.8,0.76,0.19,109.0,1.0
MuGalois,10,1.0,0.0,0.3,0.0,0.4615,0.0,5,3,5.79,0.64,964.0,2.0
