strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL,4,1.0,0.0,0.8,0.1118,0.8857,0.0639,5,3.2,1.44,0.56,85.0,3.0
SimpleScan,4,1.0,0.0,0.65,0.1369,0.7809,0.1043,5,2.6,1.0,0.21,113.0,3.0
GD,4,1.0,0.0,0.85,0.2236,0.9048,0.1468,5,3.4,5.53,0.29,1045.0,22.0
GD_motiv0,4,0.6934,0.0596,0.9,0.2236,0.7721,0.1186,5,5.2,10.07,3.0,2725.0,1278.0
GD_motiv_closure,4,1.0,0.0,1.0,0.0,1.0,0.0,5,4,9.19,2.19,1630.0,554.0
GD_telephone,4,1.0,0.0,0.9,0.1369,0.9428,0.0783,5,3.6,13.99,1.56,3680.0,109.0
DG,4,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6.63,2.6,1008.0,184.0
MuGalois,4,1.0,0.0,0.65,0.2236,0.7714,0.1521,5,2.6,8.38,0.46,1286.0,31.0
