strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL,10,1.0,0.0,0.5,0.0,0.6667,0.0,5,5,1.21,0.19,89.0,0.0
SPARQL,10,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0.72,0.24,107.0,0.0
GD,10,0.7767,0.0384,0.36,0.0894,0.4888,0.0886,5,4.6,4.26,0.22,972.0,22.0
GD_lookahead,10,0.7667,0.0373,0.34,0.0894,0.4679,0.0878,5,4.4,5.09,1.28,1314.0,764.0
DG,10,0.0,0.0,0.0,0.0,0.0,0.0,5,5.2,11.46,3.91,4484.0,898.0
DG_lookahead,10,0.0,0.0,0.0,0.0,0.0,0.0,5,6,10.26,2.95,4592.0,513.0
Join,10,0.0,0.0,0.0,0.0,0.0,0.0,5,0,7.68,0.75,3950.0,273.0
Join_lookahead,10,0.0,0.0,0.0,0.0,0.0,0.0,5,0,7.0,1.47,3253.0,1219.0
SimpleScan,10,0.8381,0.0106,0.52,0.0447,0.6412,0.0362,5,6.2,1.12,0.43,125.0,2.0
MuGalois,10,0.7833,0.0456,0.38,0.1095,0.5072,0.1076,5,4.8,6.71,0.23,1236.0,49.0
