strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL,9,0.875,0.0,0.7778,0.0,0.8235,0.0,5,8,1.81,0.68,101.0,0.0
SimpleScan,9,0.8571,0.0,0.6667,0.0,0.75,0.0,5,7,1.01,0.22,120.0,0.0
GD,9,0.8571,0.0,0.6667,0.0,0.75,0.0,5,7,11.77,1.08,3477.0,32.0
DG,9,0.9778,0.0497,0.8445,0.0609,0.9043,0.0342,5,7.8,6.18,0.41,903.0,14.0
DG_motiv0,9,0.9778,0.0497,0.8889,0.0,0.9307,0.0234,5,8.2,7.27,1.23,1102.0,195.0
DG_motiv_closure,9,0.9714,0.0639,0.7334,0.0609,0.835,0.0576,5,6.8,8.3,2.06,1554.0,87.0
DG_telephone,9,0.9492,0.0705,0.8,0.093,0.866,0.0704,5,7.6,9.27,0.44,1628.0,94.0
MuGalois,9,0.9778,0.0497,0.8,0.093,0.876,0.0505,5,7.4,9.01,0.78,1162.0,14.0
MuGalois_lowTau,9,0.9206,0.0736,0.7556,0.093,0.8278,0.0712,5,7.4,5.81,3.36,795.0,505.0
