strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL_naive,13,0.1784,0.0228,1.0,0.0,0.3022,0.0325,5,73.8,49.15,92.95,3634.0,6947.0
NL_precise,13,0.5793,0.4639,0.8462,0.1088,0.5803,0.4167,5,147.8,54.95,74.18,3561.0,4688.0
SPARQL,13,1.0,0.0,0.2308,0.0,0.375,0.0,5,3,1.06,0.06,108.0,0.0
LLMRecScan,13,0.7428,0.2348,0.7385,0.1685,0.7396,0.2012,5,13.2,2.82,0.26,447.0,14.0
LLMFixpointScan,13,0.513,0.1223,0.6,0.2457,0.5077,0.0508,5,17.2,30.0,18.48,4259.0,2505.0
MuGaloisRec,13,0.5109,0.0702,0.5385,0.077,0.5186,0.0412,5,14,25.36,6.46,3727.0,780.0
