strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
A_baseline,264,0.8381,0.3548,0.2682,0.0509,0.3687,0.0692,5,143,21.63,32.88,1443.0,2140.0
B_motivational_only,264,0.9972,0.0063,0.3,0.0665,0.4581,0.0781,5,79.4,58.38,106.65,4348.0,6902.0
C_cap_only,264,1.0,0.0,0.2818,0.0407,0.4384,0.05,5,74.4,7.51,1.15,546.0,43.0
D_motivational_capped,264,1.0,0.0,0.2886,0.0513,0.4461,0.059,5,76.2,12.81,4.22,1310.0,222.0
