strategy,precision,recall,f1_triple,cardinality,avg_score
Original (?x only),0.6,0.5,0.5455,0.8333,0.6894
Improved (?x only),0.75,0.5,0.6,0.6667,0.6333
Original (?x + ?y),0.1,1.0,0.1818,0.1,0.1409
Improved (?x + ?y),0.1429,1.0,0.25,0.1429,0.1964
