strategy,precision,recall,f1_triple,cardinality,avg_score
Original (?x only),0.5,0.0833,0.1429,0.1667,0.1548
Improved (?x only),0.5,0.25,0.3333,0.5,0.4167
Original (?x + ?y),0.25,1.0,0.4,0.25,0.325
Improved (?x + ?y),0.5,1.0,0.6667,0.5,0.5833
