strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL_naive,7,0.3066,0.0596,0.1429,0.0,0.1933,0.0149,5,3.4,0.93,0.09,89.0,4.0
NL_precise,7,0.2,0.0,0.1429,0.0,0.1667,0.0,5,5,1.05,0.14,102.0,0.0
SPARQL,7,0.4,0.0,0.2857,0.0,0.3333,0.0,5,5,0.94,0.13,135.0,0.0
Holistic,7,0.5,0.0,0.2857,0.0,0.3636,0.0,5,4,1.06,0.11,110.0,0.0
Holistic_psych,7,0.2,0.0,0.1429,0.0,0.1667,0.0,5,5,1.1,0.17,199.0,0.0
Segment,7,0.3867,0.0298,0.5428,0.0639,0.4515,0.0428,5,9.8,32.52,1.94,5665.0,278.0
µ-Galois,7,0.8833,0.2609,0.9429,0.1278,0.9053,0.2118,5,8,6.68,2.09,1742.0,911.0
