strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL_naive,11,0.6667,0.0,0.1818,0.0,0.2857,0.0,5,3,0.84,0.11,78.0,0.0
NL_precise,11,0.4429,0.0319,0.2727,0.0,0.3372,0.0088,5,6.8,0.88,0.04,97.0,1.0
SPARQL,11,0.42,0.0447,0.3454,0.0407,0.3754,0.0126,5,9.2,0.98,0.05,141.0,5.0
Holistic,11,0.58,0.0447,0.2545,0.0407,0.3533,0.0484,5,4.8,0.9,0.12,85.0,1.0
Holistic_psych,11,0.63,0.0671,0.2727,0.0,0.38,0.0112,5,4.8,0.93,0.13,185.0,1.0
Segment,11,0.1968,0.0142,0.3636,0.0,0.2552,0.0116,5,20.4,44.16,4.0,7261.0,537.0
µ-Galois,11,0.7233,0.0384,0.5637,0.0407,0.6323,0.0236,5,8.6,6.16,0.42,1572.0,6.0
