strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL_naive,1,0.3333,0.0,1.0,0.0,0.5,0.0,5,3,0.85,0.06,81.0,0.0
NL_precise,1,0.5,0.0,1.0,0.0,0.6667,0.0,5,2,1.01,0.38,91.0,0.0
SPARQL,1,0.4,0.2236,0.8,0.4472,0.5334,0.2982,5,1.8,0.91,0.06,129.0,2.0
Holistic,1,0.3333,0.0,1.0,0.0,0.5,0.0,5,3,0.95,0.12,84.0,0.0
Holistic_psych,1,0.5,0.0,1.0,0.0,0.6667,0.0,5,2,1.04,0.1,180.0,0.0
Segment,1,0.0,0.0,0.0,0.0,0.0,0.0,5,3,36.25,17.13,5248.0,1520.0
µ-Galois,1,0.5667,0.2528,1.0,0.0,0.7,0.1826,5,2,3.27,0.76,562.0,55.0
