strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL_naive,13,0.6,0.0,0.2308,0.0,0.3333,0.0,5,5,1.27,0.4,106.0,2.0
NL_precise,13,0.3333,0.0,0.1538,0.0,0.2105,0.0,5,6,1.05,0.1,109.0,0.0
SPARQL,13,0.3571,0.0,0.3846,0.0,0.3704,0.0,5,14,1.31,0.12,189.0,0.0
Holistic,13,0.6667,0.0,0.3077,0.0,0.4211,0.0,5,6,1.05,0.12,110.0,1.0
Holistic_psych,13,0.24,0.3286,0.0923,0.1264,0.1333,0.1826,5,4.6,1.01,0.07,207.0,9.0
Segment,13,0.2248,0.1028,0.8462,0.0,0.3459,0.1207,5,56.4,52.5,9.28,10637.0,3234.0
µ-Galois,13,0.5796,0.0216,0.8462,0.0,0.6878,0.0152,5,19,7.48,0.88,1771.0,83.0
