strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL_naive,216,1.0,0.0,0.0463,0.0,0.0885,0.0,5,10,1.51,0.39,123.0,0.0
NL_precise,216,0.9846,0.0344,0.0509,0.0066,0.0968,0.0117,5,11.2,1.32,0.13,137.0,9.0
SPARQL,216,0.7913,0.0507,0.2158,0.1221,0.3237,0.1604,5,59,3.19,1.63,423.0,183.0
Holistic,216,0.943,0.0394,0.0657,0.0171,0.1225,0.0305,5,15,2.5,0.56,293.0,53.0
Holistic_psych,216,0.9455,0.0498,0.0555,0.0127,0.1048,0.0229,5,12.6,2.53,1.54,236.0,13.0
Segment,216,0.0468,0.0297,0.0083,0.006,0.014,0.0099,5,34.6,15.0,3.43,5257.0,2181.0
µ-Galois,216,0.7454,0.0319,0.5991,0.0887,0.6597,0.0453,5,174.6,14.94,2.87,3132.0,557.0
