strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL_naive,190,0.8178,0.0398,0.0253,0.0094,0.0489,0.0176,5,5.8,1.07,0.1,107.0,10.0
NL_precise,190,0.7722,0.0124,0.0358,0.0023,0.0684,0.0044,5,8.8,1.73,1.33,128.0,2.0
SPARQL,190,0.9,0.0,0.0474,0.0,0.09,0.0,5,10,1.4,0.28,163.0,0.0
Holistic,190,0.8,0.0,0.0211,0.0,0.041,0.0,5,5,1.48,0.39,143.0,0.0
Holistic_psych,190,0.7667,0.0152,0.0347,0.0028,0.0665,0.0054,5,8.6,1.25,0.21,225.0,2.0
Segment,190,0.0,0.0,0.0,0.0,0.0,0.0,5,10.4,9.95,1.74,1462.0,147.0
µ-Galois,190,0.6789,0.0198,0.6295,0.0758,0.6505,0.0403,5,176.6,15.09,1.84,3140.0,397.0
